#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000233495.1	PRJNA224116	SAMN02463803	ACWU00000000.1	na	287	287	Pseudomonas aeruginosa	strain=2_1_26		latest	Scaffold	Major	Full	2011/11/02	Pseudomonas_sp_2_1_26_V1	Broad Institute	GCA_000233495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/233/495/GCF_000233495.1_Pseudomonas_sp_2_1_26_V1		
GCF_000632755.1	PRJNA224116	SAMN02690695	JGYF00000000.1	na	287	287	Pseudomonas aeruginosa	strain=LNU-E-001		latest	Scaffold	Major	Full	2014/04/16	PseOti1.0	Liaoning University	GCA_000632755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/632/755/GCF_000632755.1_PseOti1.0		
GCF_000698765.1	PRJNA224116	SAMN02726854	JJOD00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PUPa3		latest	Contig	Major	Full	2014/06/05	PUPa3 1.0	International Centre for Genetic Engineering and Biotechnology	GCA_000698765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/698/765/GCF_000698765.1_PUPa3_1.0		
GCF_000709285.1	PRJNA224116	SAMN02745922	JMQH00000000.1	na	287	287	Pseudomonas aeruginosa	strain=JMM		latest	Contig	Major	Full	2014/06/17	ASM70928v1	University of Delhi	GCA_000709285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/709/285/GCF_000709285.1_ASM70928v1		
GCF_000710625.1	PRJNA224116	SAMN02673308	JFJU00000000.1	na	287	287	Pseudomonas aeruginosa	strain=MRSN18971		latest	Scaffold	Major	Full	2014/06/20	MRSN18971scaf	Walter Reed Army Institute of Research	GCA_000710625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/710/625/GCF_000710625.1_MRSN18971scaf		
GCF_000737795.1	PRJNA224116	SAMN02738247	JNHD00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA_ST235		latest	Contig	Major	Full	2014/08/05	PA_ST235 v.05	Hospital Universitario 12 de Octubre	GCA_000737795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/737/795/GCF_000737795.1_PA_ST235_v.05		
GCF_000743405.1	PRJNA224116	SAMN02870863	JOVK00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PAG		latest	Scaffold	Major	Full	2014/08/25	PAG	Los Alamos National Laboratory	GCA_000743405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/743/405/GCF_000743405.1_PAG		
GCF_000750905.1	PRJNA224116	SAMEA3139100		na	287	287	Pseudomonas aeruginosa	strain=PSE305		latest	Chromosome	Major	Full	2014/08/28	PSE305	IGH	GCA_000750905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/750/905/GCF_000750905.1_PSE305		
GCF_000756575.1	PRJNA224116	SAMN02767933	JPQQ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=ATCC 33988		latest	Contig	Major	Full	2014/09/22	ASM75657v1	UDRI	GCA_000756575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/756/575/GCF_000756575.1_ASM75657v1		
GCF_000757505.1	PRJNA224116	SAMN02953214	JPYP00000000.1	na	287	287	Pseudomonas aeruginosa	strain=YS-1p		latest	Scaffold	Major	Full	2014/09/23	PRTA	Oklahoma State University	GCA_000757505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/757/505/GCF_000757505.1_PRTA		
GCF_000760495.1	PRJNA224116	SAMN02720833	JMBS00000000.2	na	287	287	Pseudomonas aeruginosa	strain=P7-L633/96		latest	Contig	Major	Full	2014/11/25	ASM76049v2	Center for Cellular and Molecular Biology(CCMB)	GCA_000760495.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/760/495/GCF_000760495.1_ASM76049v2		
GCF_000760505.1	PRJNA224116	SAMN02720832	JMBR00000000.2	na	287	287	Pseudomonas aeruginosa	strain=P2-L230/95		latest	Contig	Major	Full	2014/11/25	ASM76050v2	Center for Cellular and Molecular Biology(CCMB)	GCA_000760505.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/760/505/GCF_000760505.1_ASM76050v2		
